"SystematicName","StandardName","briefDescription","description","chromID","ORF.start","ORF.end","chromStrand","IntronID","Introns.length","Introns.start","Introns.end","Introns.chromStrand","relative.start","relative.end"
"YBR082C","UBC4","Ubiquitin-conjugating enzyme (E2)","Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog, UBC5, that arose from the whole genome duplication","chrII",406628,407169,-1,"S000000286_C",94,407028,407122,-1,48,142
"YBR084C-A","RPL19A","Ribosomal 60S subunit protein L19A","Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication","chrII",414186,415261,-1,"S000002156_C",505,414754,415259,-1,3,508
"YBR090C","","Putative protein of unknown function","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus","chrII",426333,427058,-1,"S000000294_C",356,426517,426873,-1,186,542
"YBR111W-A","SUS1","Component of both the SAGA histone acetylase and TREX-2 complexes","Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP","chrII",462139,462579,1,"S000028510_C",69,462430,462499,1,292,361
"YBR111W-A","SUS1","Component of both the SAGA histone acetylase and TREX-2 complexes","Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP","chrII",462139,462579,1,"S000028510_C",79,462210,462289,1,72,151
"YBR119W","MUD1","U1 snRNP A protein","U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing","chrII",479338,480323,1,"S000000323_C",88,479346,479434,1,9,97
"YBR181C","RPS6B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; phosphorylated on S233 by Ypk3p in a TORC1-dependent manner, and on S232 in a TORC1/2-dependent manner by Ypk1/2/3p; RPS6B has a paralog, RPS6A, that arose from the whole genome duplication","chrII",591712,592774,-1,"S000000385_C",351,592417,592768,-1,7,358
"YBR186W","PCH2","Hexameric ring ATPase that remodels chromosome axis protein Hop1p","Hexameric ring ATPase that remodels chromosome axis protein Hop1p; nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in rDNA; required for meiotic double-stranded break formation","chrII",600553,602360,1,"S000000390_C",112,602104,602216,1,1552,1664
"YBR189W","RPS9B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9B has a paralog, RPS9A, that arose from the whole genome duplication","chrII",604508,605508,1,"S000000393_C",412,604515,604927,1,8,420
"YBR191W","RPL21A","Ribosomal 60S subunit protein L21A","Ribosomal 60S subunit protein L21A; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21A has a paralog, RPL21B, that arose from the whole genome duplication","chrII",606270,607140,1,"S000000395_C",387,606281,606668,1,12,399
"YBR215W","HPC2","Subunit of the HIR complex","Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT, a complex that allows passage of RNA Pol II through nucleosomes","chrII",653356,655317,1,"S000000419_C",83,653369,653452,1,14,97
"YBR219C","","Putative protein of unknown function","Putative protein of unknown function; YBR219C is not an essential gene","chrII",662499,663303,-1,"S000000423_C",420,662582,663002,-1,302,722
"YBR230C","OM14","Mitochondrial outer membrane receptor for cytosolic ribosomes","Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources","chrII",679549,680050,-1,"S000000434_C",96,679943,680039,-1,12,108
"YBR255C-A","RCF3","Mitochondrial inner membrane protein","Mitochondrial inner membrane protein; associates with respiratory chain supercomplexes III (ubiquinol-cytochrome c reductase) and IV (cytochrome c oxidase); identified by sequence comparison with hemiascomycetous yeast species","chrII",726618,727074,-1,"S000007649_C",93,726918,727011,-1,64,157
"YCL002C","","Putative protein of unknown function","Putative protein of unknown function; YCL002C is not an essential gene","chrIII",110808,111675,-1,"S000000508_C",75,111558,111633,-1,43,118
"YCL005W-A","VMA9","Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex","Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex; essential for vacuolar acidification; interacts with the V-ATPase assembly factor Vma21p in the ER; involved in V0 biogenesis","chrIII",107023,107417,1,"S000028508_C",76,107034,107110,1,12,88
"YCL005W-A","VMA9","Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex","Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex; essential for vacuolar acidification; interacts with the V-ATPase assembly factor Vma21p in the ER; involved in V0 biogenesis","chrIII",107023,107417,1,"S000028508_C",95,107192,107287,1,170,265
"YCL012C","","Protein of unknown function","Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; orthologs are present in S. bayanus, S. paradoxus and Ashbya gossypii; YCL012C is not an essential gene","chrIII",101317,101788,-1,"S000029705_C",66,101634,101700,-1,89,155
"YCR028C-A","RIM1","ssDNA-binding protein essential for mitochondrial genome maintenance","ssDNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replication; stimulates utilization by Mip1p DNA polymerase of RNA primers synthesized by Rpo41p","chrIII",172950,173440,-1,"S000007222_C",82,173116,173198,-1,243,325
"YCR031C","RPS14A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14A has a paralog, RPS14B, that arose from the whole genome duplication","chrIII",177500,178220,-1,"S000000627_C",306,177907,178213,-1,8,314
"YCR097W","HMRA1","Silenced copy of a1 at HMR","Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells","chrIII",293835,294321,1,"S000000694_C",51,294240,294291,1,406,457
"YCR097W","HMRA1","Silenced copy of a1 at HMR","Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells","chrIII",293835,294321,1,"S000000694_C",53,293940,293993,1,106,159
"YDL012C","","Tail-anchored plasma membrane protein with a conserved CYSTM module","Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication","chrIV",431108,431517,-1,"S000002170_C",85,431387,431472,-1,46,131
"YDL029W","ARP2","Essential component of the Arp2/3 complex","Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants","chrIV",399340,400638,1,"S000002187_C",122,399362,399484,1,23,145
"YDL064W","UBC9","SUMO-conjugating enzyme involved in the Smt3p conjugation pathway","SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)","chrIV",337487,338070,1,"S000002222_C",109,337525,337634,1,39,148
"YDL075W","RPL31A","Ribosomal 60S subunit protein L31A","Ribosomal 60S subunit protein L31A; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31A has a paralog, RPL31B, that arose from the whole genome duplication","chrIV",322226,322988,1,"S000002233_C",420,322283,322703,1,58,478
"YDL079C","MRK1","Glycogen synthase kinase 3 (GSK-3) homolog","Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation; MRK1 has a paralog, RIM11, that arose from the whole genome duplication","chrIV",312951,314748,-1,"S000002237_C",291,314045,314336,-1,413,704
"YDL082W","RPL13A","Ribosomal 60S subunit protein L13A","Ribosomal 60S subunit protein L13A; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13A has a paralog, RPL13B, that arose from the whole genome duplication","chrIV",308424,309388,1,"S000002240_C",364,308428,308792,1,5,369
"YDL083C","RPS16B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16B has a paralog, RPS16A, that arose from the whole genome duplication","chrIV",306926,307789,-1,"S000002241_C",431,307334,307765,-1,25,456
"YDL108W","KIN28","Ser/Thr protein kinase and subunit of TFIIK, a TFIIH subassembly","Ser/Thr protein kinase and subunit of TFIIK, a TFIIH subassembly; phosphorylates the C-terminal domain (CTD) of RNAPII (Ser5 and Ser7); facilitates recruitment of mRNA 5'-capping and polyadenylation factors to the RNAPII holoenzyme complex; minor role in RNAPII transcription; role in RNAPI transcription; regulates Atg1p kinase complex assembly during nitrogen starvation induced autophagy; associates with cyclin Ccl1p; relocalizes to the cytosol in response to hypoxia; ortholog of human CDK7","chrIV",267698,268699,1,"S000002266_C",80,267726,267806,1,29,109
"YDL115C","IWR1","RNA polymerase II transport factor, conserved from yeast to humans","RNA polymerase II transport factor, conserved from yeast to humans; also has a role in transporting RNA polymerase III into the nucleus; interacts with most of the RNAP II subunits; nucleo-cytoplasmic shuttling protein; deletion causes hypersensitivity to K1 killer toxin; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress","chrIV",253995,255126,-1,"S000002273_C",69,254975,255044,-1,83,152
"YDL125C","HNT1","Adenosine 5'-monophosphoramidase","Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1; member of histidine triad (HIT) superfamily of nucleotide-binding proteins; protein abundance increases in response to DNA replication stress; human homolog HINT1 can complement yeast hnt1 mutant","chrIV",239019,239606,-1,"S000002283_C",110,239399,239509,-1,98,208
"YDL130W","RPP1B","Ribosomal protein P1 beta","Ribosomal protein P1 beta; component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome; free (non-ribosomal) P1 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; accumulation is regulated by phosphorylation and interaction with the P2 stalk component","chrIV",229906,230527,1,"S000002288_C",300,230020,230320,1,115,415
"YDL136W","RPL35B","Ribosomal 60S subunit protein L35B","Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog, RPL35A, that arose from the whole genome duplication","chrIV",217600,218367,1,"S000002295_C",404,217603,218007,1,4,408
"YDL191W","RPL35A","Ribosomal 60S subunit protein L35A","Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog, RPL35B, that arose from the whole genome duplication","chrIV",117664,118517,1,"S000002350_C",490,117667,118157,1,4,494
"YDL219W","DTD1","D-Tyr-tRNA(Tyr) deacylase","D-Tyr-tRNA(Tyr) deacylase; functions in protein translation, may affect nonsense suppression via alteration of the protein synthesis machinery; ubiquitous among eukaryotes","chrIV",65242,65765,1,"S000002378_C",70,65307,65377,1,66,136
"YDR005C","MAF1","Highly conserved negative regulator of RNA polymerase III","Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; regulated by phosphorylation mediated by TORC1, protein kinase A, Sch9p, casein kinase 2; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions","chrIV",456836,458103,-1,"S000002412_C",79,458018,458097,-1,7,86
"YDR025W","RPS11A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that arose from the whole genome duplication","chrIV",491515,492324,1,"S000002432_C",338,491560,491898,1,46,384
"YDR059C","UBC5","Ubiquitin-conjugating enzyme","Ubiquitin-conjugating enzyme; mediates selective degradation of short-lived, abnormal, or excess proteins, including histone H3; central component of the cellular stress response; expression is heat inducible; protein abundance increases in response to DNA replication stress; UBC5 has a paralog, UBC4, that arose from the whole genome duplication","chrIV",569234,569770,-1,"S000002466_C",89,569634,569723,-1,48,137
"YDR064W","RPS13","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15","chrIV",579458,580452,1,"S000002471_C",538,579479,580017,1,22,560
"YDR092W","UBC13","E2 ubiquitin-conjugating enzyme","E2 ubiquitin-conjugating enzyme; involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus","chrIV",629876,630605,1,"S000002499_C",267,629906,630173,1,31,298
"YDR129C","SAC6","Fimbrin, actin-bundling protein","Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant","chrIV",713340,715379,-1,"S000002536_C",110,715248,715358,-1,22,132
"YDR139C","RUB1","Ubiquitin-like protein with similarity to mammalian NEDD8","Ubiquitin-like protein with similarity to mammalian NEDD8; conjugation (neddylation) substrates include the cullins Cdc53p, Rtt101p, and Cul3p; activated by Ula1p and Uba3p (E1 enzyme pair); conjugation mediated by Ubc12p (E2 enzyme)","chrIV",733618,733924,-1,"S000002546_C",72,733703,733775,-1,150,222
"YDR305C","HNT2","Dinucleoside triphosphate hydrolase","Dinucleoside triphosphate hydrolase; has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-binding proteins","chrIV",1072746,1073488,-1,"S000002713_C",88,1073313,1073401,-1,88,176
"YDR318W","MCM21","Component of the kinetochore sub-complex COMA","Component of the kinetochore sub-complex COMA; COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) bridges kinetochore subunits in contact with centromeric DNA with subunits bound to microtubules during kinetochore assembly; involved in minichromosome maintenance; modified by sumoylation; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-O and fission yeast mal2","chrIV",1103758,1104947,1,"S000002726_C",82,1103810,1103892,1,53,135
"YDR367W","KEI1","Component of inositol phosphorylceramide (IPC) synthase","Component of inositol phosphorylceramide (IPC) synthase; forms a complex with Aur1p and regulates its activity; required for IPC synthase complex localization to the Golgi; post-translationally processed by Kex2p; KEI1 is an essential gene","chrIV",1212848,1213614,1,"S000002775_C",100,1212878,1212978,1,31,131
"YDR381C-A","COI1","Mitochondrial assembly factor","Mitochondrial assembly factor; important for assembly of the mitochondrial respiratory chain bc1 complex (complex III), cytochrome oxidase (complex IV), and the complex III-complex IV supercomplex; embedded in the mitochondrial inner membrane, facing the intermembrane space","chrIV",1238312,1238850,-1,"S000007650_C",193,1238631,1238824,-1,27,220
"YDR381W","YRA1","Nuclear polyadenylated RNA-binding protein","Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member","chrIV",1236558,1238004,1,"S000002789_C",765,1236843,1237608,1,286,1051
"YDR397C","NCB2","Subunit of a heterodimeric NC2 transcription regulator complex","Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta; complex also includes Bur6p","chrIV",1266366,1266898,-1,"S000002805_C",91,1266770,1266861,-1,38,129
"YDR424C","DYN2","Cytoplasmic light chain dynein, microtubule motor protein","Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments","chrIV",1319387,1319841,-1,"S000002832_C",79,1319618,1319697,-1,145,224
"YDR424C","DYN2","Cytoplasmic light chain dynein, microtubule motor protein","Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments","chrIV",1319387,1319841,-1,"S000002832_C",95,1319721,1319816,-1,26,121
"YDR447C","RPS17B","Ribosomal protein 51 (rp51) of the small (40s) subunit","Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17B has a paralog, RPS17A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","chrIV",1354829,1355553,-1,"S000002855_C",313,1355237,1355550,-1,4,317
"YDR450W","RPS18A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18A has a paralog, RPS18B, that arose from the whole genome duplication; protein increases in abundance and relocalizes from cytoplasm to nuclear foci upon DNA replication stress","chrIV",1359923,1360798,1,"S000002858_C",434,1359970,1360404,1,48,482
"YDR471W","RPL27B","Ribosomal 60S subunit protein L27B","Ribosomal 60S subunit protein L27B; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27B has a paralog, RPL27A, that arose from the whole genome duplication","chrIV",1401770,1402564,1,"S000002879_C",383,1401801,1402184,1,32,415
"YDR500C","RPL37B","Ribosomal 60S subunit protein L37B","Ribosomal 60S subunit protein L37B; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; protein abundance increases in response to DNA replication stress; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37B has a paralog, RPL37A, that arose from the whole genome duplication","chrIV",1450198,1450853,-1,"S000002908_C",388,1450458,1450846,-1,8,396
"YDR535C","","Dubious open reading frame","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YDR535C is not an essential gene","chrIV",1506606,1507362,-1,"S000002943_C",255,1507059,1507314,-1,49,304
"YEL003W","GIM4","Subunit of the heterohexameric cochaperone prefoldin complex","Subunit of the heterohexameric cochaperone prefoldin complex; complex binds specifically to cytosolic chaperonin and transfers target proteins to it","chrV",148176,148599,1,"S000000729_C",87,148195,148282,1,20,107
"YEL012W","UBC8","Ubiquitin-conjugating enzyme that regulates gluconeogenesis","Ubiquitin-conjugating enzyme that regulates gluconeogenesis; negatively regulates gluconeogenesis by mediating the glucose-induced ubiquitination of fructose-1,6-bisphosphatase (FBPase); cytoplasmic enzyme that catalyzes the ubiquitination of histones in vitro","chrV",131772,132551,1,"S000000738_C",122,131777,131899,1,6,128
"YEL076C-A","","Putative protein of unknown function","Putative protein of unknown function","chrV",4185,5114,-1,"S000002955_C",278,4323,4601,-1,514,792
"YER003C","PMI40","Mannose-6-phosphate isomerase","Mannose-6-phosphate isomerase; catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in protein mannosylation","chrV",157736,159118,-1,"S000000805_C",92,158995,159087,-1,32,124
"YER007C-A","TMA20","Protein of unknown function that associates with ribosomes","Protein of unknown function that associates with ribosomes; has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1; protein abundance increases in response to DNA replication stress","chrV",166237,166885,-1,"S000002957_C",102,166772,166874,-1,12,114
"YER014C-A","BUD25","Protein involved in bud-site selection","Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern","chrV",183731,184700,-1,"S000007590_C",507,184170,184677,-1,24,531
"YER044C-A","MEI4","Meiosis-specific protein involved in forming DSBs","Meiosis-specific protein involved in forming DSBs; involved in double-strand break (DSBs) formation during meiotic recombination; required for chromosome synapsis and production of viable spores","chrV",238460,239774,-1,"S000001954_C",87,239624,239711,-1,64,151
"YER056C-A","RPL34A","Ribosomal 60S subunit protein L34A","Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34A has a paralog, RPL34B, that arose from the whole genome duplication","chrV",269423,270185,-1,"S000002135_C",396,269752,270148,-1,38,434
"YER074W","RPS24A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24, no bacterial homolog; RPS24A has a paralog, RPS24B, that arose from the whole genome duplication","chrV",306323,307196,1,"S000000876_C",465,306326,306791,1,4,469
"YER074W-A","YOS1","Integral membrane protein required for ER to Golgi transport","Integral membrane protein required for ER to Golgi transport; localized to the Golgi, the ER, and COPII vesicles; interacts with Yip1p and Yif1p","chrV",307653,308123,1,"S000007651_C",101,307747,307848,1,95,196
"YER074W-A","YOS1","Integral membrane protein required for ER to Golgi transport","Integral membrane protein required for ER to Golgi transport; localized to the Golgi, the ER, and COPII vesicles; interacts with Yip1p and Yif1p","chrV",307653,308123,1,"S000007651_C",110,307957,308067,1,305,415
