Gene,YN00_mean,YN00_median,NG86_mean,NG86_median,LWL85_mean,LWL85_median,LWL85m_mean,LWL85m_median,LPB93_mean,LPB93_median
YAL047W-A,0.072470392,0,0.06074948,0,0.047096602,0,0.029511489,0,0.052177274,0
YAL048C,0.082603775,0.020172911,0.060082862,0.015184382,0.030523016,0,0.051549714,0,0.059313111,0
YAL049C,0.309953925,0.195876289,0.22381114,0.138211382,0.198831334,0.112676056,0.414843789,0.157894737,0.510574646,0.181818182
YAL051W,0.260846392,0.14893617,0.184988668,0.108208955,0.133871944,0.06779661,0.195981248,0.130434783,0.204807906,0.12
YAL053W,0.093169224,0.045977011,0.063941883,0.032786885,0.051402439,0.025641026,0.075255408,0.045454545,0.07220085,0.037037037
YAL054C,0.109537429,0.0625,0.079525184,0.043165468,0.037136471,0,0.054901795,0,0.052113505,0
YAL055W,0.243172459,0.246732026,0.203803341,0.209537572,0.176301684,0.186666667,0.240423671,0.215384615,0.268741828,0.266666667
YAL056C-A,0.942752413,0.855670103,0.750662151,0.684210526,0.73973545,0.583333333,0.753147872,0.571428571,1.450513393,1.142857143
YAL056W,0.402339847,0.218905473,0.332075739,0.175824176,0.407301458,0.157894737,0.496911568,0.266666667,0.588015284,0.266666667
YAL058W,0.65381792,0.566326531,0.506157311,0.438818565,0.542056673,0.423076923,0.945173941,0.65625,0.977677593,0.666666667
YAL059C-A,0.181063987,0.154867257,0.124140705,0.107023411,0.118951756,0.09375,0.232881464,0.166666667,0.216872896,0.166666667
YAL059W,0.16438925,0.191304348,0.124549589,0.144876325,0.125497748,0.133333333,0.177252324,0.155737705,0.201111422,0.230769231
YAL060W,0.179168576,0.157051282,0.130175687,0.114213198,0.113957462,0.095238095,0.159534066,0.142857143,0.18967223,0.142857143
YAL061W,0.256285068,0.173469388,0.18653672,0.125,0.181527636,0.115384615,0.195783102,0.137931034,0.253488716,0.148148148
YAL062W,0.036574474,0.022172949,0.026890081,0.017182131,0.009445937,0,0.033331575,0.022988506,0.03025854,0
YAL063C-A,0.607443298,0.345588235,0.48449573,0.268292683,0.532466228,0.210526316,1.308263658,1.153846154,1.317248956,0.555555556
YAL063C,0.463388397,0.407216495,0.302537783,0.266666667,0.263656883,0.238095238,0.330093973,0.296296296,0.336639457,0.3
YAL064C-A,1.100310979,0.787234043,0.861876955,0.619469027,0.736156802,0.5,1.067189425,0.8,1.311077951,1
YAL064W-B,0.770664734,0.55704698,0.496704393,0.356435644,0.457441262,0.3125,0.504990766,0.5,0.691365328,0.5
YAL064W,0.460885516,0.521582734,0.381425099,0.437106918,0.265550825,0.255813953,0.297358481,0.310344828,0.285250766,0.261904762
YAL065C,0.641089116,0.586872587,0.500869564,0.459546926,0.372570716,0.3125,0.410892976,0.363636364,0.54672454,0.428571429
YAL066W,3.213031111,3.537815126,2.41194119,2.671232877,1.429808338,1.4,0.848246853,0.837209302,1.532067659,1.424242424
YAL067C,0.311944703,0.274576271,0.283582171,0.249211356,0.222869855,0.2,0.157703767,0.120689655,0.338418837,0.264705882
YAL067W-A,0.628440529,0.412337662,0.49243371,0.324175824,0.373374875,0.268292683,0.466216273,0.281690141,0.626322171,0.389768195
YAL068C,0.017922117,0,0.014882004,0,0.011928386,0,0.021952018,0,0.018756898,0
YAL068W-A,0.541699892,0.369127517,0.430950218,0.295454545,0.382552181,0.263157895,0.451343642,0.310344828,0.442352767,0.321428571
YAL069W,0.708388813,0.575903614,0.537832058,0.438492063,0.443193864,0.388888889,0.893354414,0.796296296,0.695029174,0.607142857
YAR002C-A,0.033858891,0,0.027964236,0,0.016911207,0,0.049062749,0,0.044885723,0
YAR002W,0.368337761,0.3,0.301392639,0.24691358,0.268719203,0.2,0.39485258,0.285714286,0.406944206,0.272727273
YAR003W,0.138735761,0.105263158,0.118803366,0.093457944,0.114963597,0.086956522,0.059643977,0,0.141165561,0.066666667
YAR007C,0.075368911,0.036649215,0.062883127,0.030973451,0.029902422,0,0.033823141,0,0.040348607,0
YAR008W,0.316186495,0.175531915,0.261158979,0.142424242,0.209656575,0.125,0.311831105,0.176470588,0.359841431,0.16
YAR014C,0.374616543,0.296296296,0.286947071,0.22556391,0.253107015,0.2,0.338366508,0.25,0.4333761,0.333333333
YAR015W,0.062723975,0,0.041996723,0,0.02779587,0,0.042235493,0,0.051917069,0
YAR018C,0.204652207,0.13253012,0.146470968,0.093457944,0.096741322,0.052631579,0.147619809,0,0.182125577,0
YAR019C,0.172928515,0.098958333,0.122643513,0.066666667,0.062278875,0,0.125362869,0.04,0.124484051,0
YAR019W-A,1.024794431,1.077586207,0.910341213,0.96031746,0.80937308,0.846153846,0.67534865,0.529411765,1.449944757,1.5
YAR020C,0.071721622,0,0.053549598,0,0.048110876,0,0.075364211,0,0.068353171,0
YAR023C,0.861226119,0.713286713,0.684293034,0.571428571,0.595485609,0.5,1.016566692,0.851851852,1.037282358,0.903225806
YAR027W,1.382219944,1.2,0.982718463,0.846153846,1.289118079,0.88,1.505545079,1.5,2.415831906,1.75
YAR028W,1.140266818,1.176470588,0.807294401,0.846153846,0.830010176,0.714285714,0.434370793,0.4,0.921195429,0.6
YAR029W,0.428117543,0.431589537,0.327516648,0.324738114,0.290844196,0.285714286,0.27766998,0.204081633,0.312069856,0.208333333
YAR030C,1.322849004,1.04,0.74570311,0.58778626,0.585281134,0.5,0.690250984,0.743589744,1.381677563,1.142857143
YAR031W,0.792765033,0.66091954,0.585653042,0.484962406,0.525395203,0.413793103,0.94204399,0.578947368,0.953487068,0.704545455
YAR033W,0.580974348,0.402684564,0.431752963,0.301075269,0.369695981,0.259259259,0.675741029,0.5,0.708422557,0.5
YAR035C-A,0.019571332,0,0.012861732,0,-0.021339437,0,nan,nan,-0.035095738,0
YAR035W,0.052136408,0.043478261,0.067022093,0.057245081,0.03805577,0.023255814,0.053153697,0.034482759,0.054365969,0.035714286
YAR042W,0.235946538,0.2,0.147984822,0.123552124,0.108513221,0.1,0.197178818,0.181818182,0.194130537,0.176470588
YAR047C,0.385763423,0.414110429,0.227025427,0.244353183,0.184266374,0.203703704,nan,nan,0.439212604,0.464285714
YAR050W,0.367938885,0.328767123,0.237649897,0.212244898,0.197491846,0.176470588,0.242967791,0.222222222,0.251339754,0.227272727
YAR053W,0.648097202,0.686567164,0.571426914,0.605442177,0.489876189,0.5,0.843102706,0.555555556,1.07297525,1.111111111
YAR060C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
YAR064W,0.824918416,0.75,0.641752641,0.586666667,0.692033944,0.75,0.258705181,0,1.204229036,1.222222222
YAR066W,0.170153654,0.15,0.128680643,0.112820513,0.119978497,0.1,0.11779033,0.142857143,0.178671419,0.142857143
YAR068W,1.528689805,1.336538462,0.910076888,0.794520548,0.821407837,0.714285714,1.203949603,0.888888889,1.197521938,0.866666667
YAR069C,0.896767949,0.768,0.694940891,0.592105263,0.542609617,0.5,0.858623355,1,0.874881597,0.8
YAR070C,0.859022876,0.827586207,0.586324211,0.564935065,0.44367237,0.470588235,1.139853735,1.111111111,0.908995649,1
YAR071W,0.113616594,0.062761506,0.076548477,0.043314501,0.037656253,0,0.095409439,0.064516129,0.067317789,0
YAR073W,0.852918884,0.793103448,0.638917949,0.611111111,0.719053055,0.666666667,0.717091335,0.5,1.123006101,1
YAR075W,0.038542994,0,0.035350808,0,0.02639142,0,0.04682719,0,0.045088948,0
YBL001C,0.009141786,0,0.008073865,0,0.009164584,0,0.017699644,0,0.014902049,0
YBL002W,0.008717125,0,0.006061678,0,0.006242642,0,0.014834812,0,0.011741464,0
YBL003C,0.005903719,0,0.006125418,0,0.005404268,0,0.011429452,0,0.010239474,0
YBL004W,0.506068232,0.432432432,0.353095229,0.3,0.192567836,0.166666667,0.35759453,0.333333333,0.350235867,0.333333333
YBL005W,0.253445463,0.183006536,0.195599047,0.129032258,0.121687148,0.074074074,0.248606807,0.181818182,0.234635675,0.181818182
YBL006C,0.196382251,0.137566138,0.145922915,0.102564103,0.121978606,0.08,0.184398151,0.133333333,0.176292203,0.090909091
YBL006W-A,0.021408705,0,0.01480661,0,0.012216861,0,0.040028554,0,0.022393654,0
YBL007C,0.294571639,0.243243243,0.25362912,0.211055276,0.1786195,0.142857143,0.255422458,0.2,0.250747477,0.2
YBL008W-A,0.26490412,0.390728477,0.170494341,0.251184834,0.13985599,0.208333333,0.165368562,0.083333333,0.165463424,0.127659574
YBL008W,0.216377934,0.119565217,0.180611274,0.096153846,0.161903617,0.037037037,0.175210311,0.095238095,0.233905373,0
YBL009W,0.581205801,0.286549708,0.412573443,0.205479452,0.346778674,0.153846154,0.290322198,0.214285714,0.759178432,0.277777778
YBL010C,0.818170265,0.76744186,0.574727069,0.535714286,0.507472402,0.5,0.746145899,0.555555556,1.139817161,1
YBL011W,0.10382872,0.056872038,0.080402082,0.043478261,0.047197629,0.03125,0.056357072,0.041666667,0.068085505,0.04
YBL012C,0.636417182,0.428571429,0.4853041,0.32038835,0.492825285,0.272727273,0.831875299,0.666666667,0.990784085,0.666666667
YBL013W,0.276506964,0.214285714,0.209134638,0.160583942,0.210173974,0.166666667,0.203773681,0.166666667,0.258515083,0.2
YBL014C,0.508588903,0.4,0.360582636,0.287128713,0.276529661,0.222222222,0.54624422,0.5,0.527341897,0.444444444
YBL015W,0.035282942,0,0.02476735,0,0.003603888,0,0.025647554,0,0.042591033,0
YBL016W,0.15617487,0.098484848,0.111695866,0.071005917,0.103668814,0.055555556,0.13043236,0.0625,0.219108148,0.1
YBL017C,0.460455281,0.439790576,0.347577122,0.333333333,0.255975058,0.272727273,0.38832323,0.388888889,0.39450819,0.4
YBL018C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL019W,0.478395165,0.36,0.394270503,0.298245614,0.298486657,0.266666667,0.347349036,0.189189189,0.597574216,0.411764706
YBL020W,0.176767698,0.092391304,0.109941048,0.057692308,0.064301672,0,0.063828956,0,0.098062911,0
YBL021C,0.029524932,0,0.020199716,0,0.013653663,0,0.008508003,0,0.019275228,0
YBL022C,0.230042054,0.152671756,0.182275773,0.11827957,0.119847681,0.074074074,0.14993945,0.125,0.147595707,0.117647059
YBL023C,0.091856428,0.022123894,0.085866492,0.020833333,0.073152219,0,0.017151202,0,0.082474902,0
YBL024W,0.206577197,0.168831169,0.166098265,0.133333333,0.10867734,0.083333333,0.20483398,0.153846154,0.192592567,0.125
YBL025W,0.190141595,0.125984252,0.13398415,0.087878788,0.090323513,0.055555556,0.047362752,0,0.189934714,0.1
YBL026W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL027W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL028C,0.042193175,0,0.037726996,0,0.030461287,0,0.07025532,0,0.066050239,0
YBL029C-A,0.061606459,0,0.037484977,0,0.030884895,0,0.069971907,0,0.071852631,0
YBL029W,0.377890522,0.296,0.270173846,0.211180124,0.225480539,0.176470588,0.515178256,0.4375,0.441510268,0.333333333
YBL030C,0.429425966,0.392857143,0.341607615,0.318181818,0.308325633,0.263157895,0.676574738,0.6,0.57195555,0.5
YBL031W,0.496279295,0.424242424,0.353276959,0.302325581,0.289851503,0.25,0.327130705,0.2,0.684570291,0.5
YBL032W,0.350449851,0.387096774,0.269378776,0.289473684,0.229871488,0.25,0.453042411,0.285714286,0.412316406,0.285714286
YBL033C,0.081176681,0,0.061753813,0,0.052940939,0,0.080133741,0,0.085189252,0
YBL034C,0.393546365,0.263157895,0.246511897,0.163157895,0.149161536,0.1,0.292751401,0.2,0.253167486,0.166666667
YBL035C,0.328885241,0.240837696,0.251980914,0.186956522,0.19810544,0.153846154,0.379481009,0.272727273,0.397635511,0.285714286
YBL036C,0.205487728,0.181818182,0.152644996,0.130081301,0.120733078,0.076923077,0.210489176,0.090909091,0.217096809,0.125
YBL037W,0.318810807,0.257142857,0.244447448,0.202380952,0.160206711,0.133333333,0.280576085,0.2,0.260823702,0.181818182
YBL038W,0.195027575,0.171052632,0.166114747,0.142307692,0.099123649,0.107142857,0.203890913,0.130434783,0.275604664,0.133333333
YBL039C-A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
YBL039C,0.11098134,0.060606061,0.085043315,0.04516129,0.026971339,0,0.041901512,0,0.038323369,0
YBL039W-B,0.053500755,0,0.034519547,0,0.052956346,0,0.016811015,0,0.111722299,0
YBL040C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL041W,0.057446232,0,0.044287335,0,0.025894895,0,0.101339782,0,0.080876366,0
YBL042C,0.191150708,0.136645963,0.141681323,0.103703704,0.094846472,0.045454545,0.121949572,0.052631579,0.143247304,0.0625
YBL043W,0.392973027,0.202185792,0.268977398,0.141666667,0.229585729,0.125,0.400355658,0.1875,0.546772769,0.285714286
YBL044W,0.812947484,0.810526316,0.588334423,0.58677686,0.612236961,0.583333333,2.138633687,2.571428571,1.521650028,1.142857143
YBL045C,0.353090281,0.28,0.263562073,0.20212766,0.15782662,0.076923077,0.264482273,0.2,0.353220025,0.25
YBL046W,0.415298885,0.305882353,0.267804181,0.197478992,0.205525103,0.142857143,0.498437392,0.333333333,0.507430785,0.333333333
YBL047C,0.217810353,0.146551724,0.171695019,0.114583333,0.089426883,0.045454545,0.143402873,0.1,0.162432037,0.090909091
YBL048W,0.105875329,0,0.086501583,0,0.16272855,0,0.163028481,0.103448276,0.329042433,0
YBL049W,0.037028036,0,0.025014807,0,0.022778097,0,0.052794817,0,0.043969276,0
YBL050W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL051C,0.171634746,0.13125,0.121494491,0.09223301,0.076878824,0.045454545,0.130031055,0.090909091,0.128488419,0.076923077
YBL052C,0.525217787,0.338582677,0.410819022,0.263157895,0.353818669,0.238095238,0.39033275,0.291666667,0.648246191,0.333333333
YBL053W,0.501883124,0.463157895,0.31132715,0.287531807,0.261642469,0.255813953,0.341949513,0.25,0.345023841,0.268292683
YBL054W,0.408247581,0.305418719,0.293289459,0.219298246,0.232206358,0.178571429,0.435766994,0.333333333,0.519405326,0.333333333
YBL055C,0.242260599,0.217821782,0.172436139,0.15648855,0.182974834,0.1875,0.409721616,0.4,0.337083472,0.333333333
YBL056W,0.313601184,0.211111111,0.273095889,0.178217822,0.175930862,0,0.262065619,0.125,0.31359595,0.166666667
YBL057C,0.202274687,0.090534979,0.167855845,0.075268817,0.155834258,0.066666667,0.262085449,0.0625,0.272703468,0.04
YBL058W,0.336902033,0.292035398,0.249387903,0.215547703,0.239826863,0.2,0.242549037,0.21875,0.301882772,0.243902439
YBL059C-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL059W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL060W,0.388588595,0.195402299,0.263564287,0.130666667,0.222000946,0.1,0.279437153,0.153846154,0.398965944,0.166666667
YBL061C,0.328265439,0.186379928,0.262709938,0.144508671,0.203728942,0.111111111,0.336197978,0.1875,0.438293758,0.2
YBL062W,0.442254491,0.374358974,0.36431228,0.308370044,0.267050813,0.25,0.467186436,0.428571429,0.537157265,0.5
YBL063W,0.19040168,0.129032258,0.132319664,0.096638655,0.069088654,0.043478261,0.143216641,0.090909091,0.138613861,0.090909091
YBL064C,0.08782866,0,0.059820343,0,0.046803548,0,0.118871713,0,0.113835179,0
YBL065W,0.175504404,0,0.120570062,0,0.097443105,0,0.437420891,0.266666667,0.20301759,0
YBL066C,0.306477103,0.167832168,0.226213256,0.126213592,0.126510953,0.066666667,0.243406382,0.125,0.235179848,0.142857143
YBL067C,0.430841929,0.384,0.34467313,0.304054054,0.262175276,0.230769231,0.590670246,0.571428571,0.600224657,0.571428571
YBL068W-A,0.029286253,0,0.016421119,0,0.014249076,0,0.031005994,0,0.029838988,0
YBL068W,0.064601492,0,0.05780727,0,0.043878021,0,0.083280909,0,0.080158176,0
YBL069W,0.075892551,0,0.052967183,0,0.048547957,0,0.064785141,0,0.064002445,0
YBL070C,0.22459562,0.358333333,0.199396508,0.318181818,0.179955262,0.275862069,0.085966855,0.068181818,0.211878537,0.333333333
YBL071C-B,0.251884887,0.360902256,0.200224858,0.285714286,0.170608147,0.236363636,0.444223132,0.516129032,0.36976675,0.516129032
YBL071C,0.805603219,0.743801653,0.607490383,0.563758389,0.842423914,0.5,0.329637991,0.259259259,1.577497006,0.685714286
YBL071W-A,0.224369919,0.204225352,0.137208939,0.124390244,0.352330183,0.454545455,0.251138533,0.25,0.252169195,0.25
YBL072C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL073W,0.722443076,0.798245614,0.459056736,0.515625,0.413850915,0.457142857,0.846324863,0.736842105,0.795837074,0.64516129
YBL074C,0.204815166,0.188405797,0.131729097,0.119791667,0.107611369,0.095238095,0.175475298,0.125,0.214325752,0.153846154
YBL075C,0.068187424,0.047457627,0.058033267,0.04,0.033775785,0.025,0.045560594,0.034482759,0.04583585,0.032258065
YBL076C,0.093796375,0.030769231,0.076870673,0.025477707,0.018321408,0,0.043400299,0,0.057312052,0
YBL077W,0.174909196,0,0.124943644,0,0.112753816,0,0.199697943,0,0.180776856,0
YBL078C,0.034771384,0,0.029108973,0,0.021995011,0,0.055070392,0,0.04755498,0
YBL079W,0.264677869,0.191780822,0.201243521,0.145454545,0.124163277,0.1,0.20874942,0.153846154,0.201304091,0.142857143
YBL080C,0.303401947,0.254807692,0.200637439,0.168421053,0.140677431,0.129032258,0.268142759,0.2,0.316585022,0.210526316
YBL081W,0.477244994,0.38028169,0.284830353,0.22705314,0.250783645,0.19047619,0.282340171,0.15625,0.394306409,0.238095238
YBL082C,0.217964793,0.138888889,0.149040998,0.094736842,0.074675687,0,0.149102728,0.076923077,0.204780312,0.111111111
YBL083C,1.025745315,0.871794872,0.782329454,0.663157895,0.523784374,0.6,0.586037116,0.5,0.927062286,0.941176471
YBL084C,0.133945684,0.075,0.10317434,0.060606061,0.033924142,0,0.074442023,0,0.070444535,0
YBL085W,0.381619554,0.277227723,0.303041372,0.214876033,0.251179754,0.153846154,0.467672036,0.333333333,0.440668647,0.285714286
YBL086C,0.378004544,0.303030303,0.266920141,0.217054264,0.196542282,0.15,0.350545485,0.3,0.370622378,0.3
YBL087C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL088C,0.362629057,0.301470588,0.271516623,0.226086957,0.129872631,0.133333333,0.186340612,0.181818182,0.196606771,0.2
YBL089W,0.257391399,0.231638418,0.200709608,0.177570093,0.105431056,0.086956522,0.237720859,0.214285714,0.219732948,0.2
YBL090W,0.162829418,0.123222749,0.114983808,0.086642599,0.088414088,0.066666667,0.073920469,0.034482759,0.189522951,0.103448276
YBL091C-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL091C,0.024931924,0,0.017171164,0,0.017548855,0,0.029945911,0,0.021066663,0
YBL092W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL093C,0.0482136,0,0.033985246,0,0.019061578,0,0.055177621,0,0.046633891,0
YBL094C,0.087437741,0,0.066975462,0,0.047696182,0,0.108701772,0,0.103035373,0
YBL095W,0.113617772,0.056478405,0.079282616,0.040302267,0.039635966,0,0.076538943,0.04,0.109850521,0.04
YBL096C,0.05287891,0,0.045068144,0,0.038328816,0,0.06266459,0,0.069561096,0
YBL097W,0.231953475,0.193548387,0.175458013,0.146616541,0.127486652,0.111111111,0.256233172,0.214285714,0.245857422,0.2
YBL098W,0.224152459,0.178571429,0.180448863,0.138461538,0.097802671,0.052631579,0.201290051,0.166666667,0.25851967,0.166666667
YBL099W,0.062065538,0,0.056851029,0,0.014195838,0,0.109850897,0,0.069711343,0
YBL100C,0.300413793,0.422018349,0.243587582,0.338582677,0.217699501,0.307692308,0.389798774,0.368421053,0.245465854,0.368421053
YBL100W-C,0.312466726,0.334302326,0.231772937,0.246013667,0.198300614,0.2,0.359702845,0.1,0.371594171,0.144444444
YBL101C,0.280234997,0.218045113,0.229680084,0.174193548,0.137662901,0.083333333,0.179105667,0.153846154,0.202276186,0.166666667
YBL102W,0.027829723,0,0.020266636,0,0.021493918,0,0.0245425,0,0.020436417,0
YBL103C,0.491471585,0.325301205,0.427329889,0.290322581,0.313059041,0.181818182,0.656723928,0.375,0.596881807,0.333333333
YBL104C,0.173757675,0.105263158,0.140308657,0.090909091,0.054124965,0,0.1522246,0,0.083076603,0
YBL105C,0.252276076,0.173913043,0.202615331,0.148148148,0.125701744,0.076923077,0.200882891,0.142857143,0.192137124,0.142857143
YBL106C,0.34757252,0.211320755,0.302407825,0.17877095,0.253105436,0.153846154,0.362056785,0.25,0.359985965,0.25
YBL107C,0.267605947,0.224390244,0.2007577,0.169291339,0.176892241,0.148148148,0.256768557,0.142857143,0.339271974,0.25
YBL107W-A,0.278992712,0.283813747,0.286222525,0.291571754,0.222084782,0.226415094,nan,nan,0.423370523,0.423076923
